evidence_id,binder_reference,period,evidence_type,title,source_artifact,source_reference,supports_close_task,supports_control_id,prepared_by_employee_id,reviewed_by_employee_id,prepared_date,retention_class,storage_location
EV-2026Q1-017,EVB-2026Q1-017,2026-03,control_test,Dual approval before a payment run is released,FIN-08,CTL-022,,CTL-022,EMP-0463,EMP-0481,2026-03-24,sox_7yr,binder/2026Q1/treasury/
EV-2026Q1-018,EVB-2026Q1-018,2026-03,control_test,Payment only to bank details held on the vendor master,FIN-08,CTL-023,,CTL-023,EMP-0464,EMP-0487,2026-03-25,sox_7yr,binder/2026Q1/treasury/
EV-2026Q1-019,EVB-2026Q1-019,2026-03,control_test,Weekly cash position reporting,FIN-02,CTL-026,,CTL-026,EMP-0467,EMP-0483,2026-03-26,standard_3yr,binder/2026Q1/treasury/
EV-2026Q1-020,EVB-2026Q1-020,2026-03,close_task,bank statement export for every account,FIN-01,,CLS-01,,EMP-0471,EMP-0470,2026-04-02,standard_3yr,binder/2026Q1/close/cash/
EV-2026Q1-021,EVB-2026Q1-021,2026-03,close_task,subledger close confirmation,FIN-07,,CLS-02,,EMP-0475,EMP-0465,2026-04-02,standard_3yr,binder/2026Q1/close/payables/
EV-2026Q1-022,EVB-2026Q1-022,2026-03,close_task,subledger close confirmation,FIN-04,,CLS-03,,EMP-0472,EMP-0466,2026-04-01,standard_3yr,binder/2026Q1/close/receivables/
EV-2026Q1-023,EVB-2026Q1-023,2026-03,reconciliation,reconciliation working paper showing the adjusted balances,FIN-01,1010,CLS-04,,EMP-0476,EMP-0473,2026-04-02,standard_3yr,binder/2026Q1/close/cash/
EV-2026Q1-024,EVB-2026Q1-024,2026-03,close_task,outstanding check listing agreed to the ledger,FIN-01,,CLS-05,,EMP-0477,EMP-0481,2026-04-02,standard_3yr,binder/2026Q1/close/cash/
EV-2026Q1-025,EVB-2026Q1-025,2026-03,reconciliation,aging report with the control account tie,FIN-04,1100,CLS-06,,EMP-0474,EMP-0467,2026-04-03,standard_3yr,binder/2026Q1/close/receivables/
EV-2026Q1-026,EVB-2026Q1-026,2026-03,close_task,credit memo and unapplied cash listing,FIN-04,,CLS-07,,EMP-0479,EMP-0470,2026-04-03,standard_3yr,binder/2026Q1/close/receivables/
EV-2026Q1-027,EVB-2026Q1-027,2026-03,close_task,three way match exception report,FIN-07,,CLS-08,,EMP-0482,EMP-0468,2026-04-02,standard_3yr,binder/2026Q1/close/payables/
EV-2026Q1-028,EVB-2026Q1-028,2026-03,reconciliation,payroll register reconciliation,FIN-02,1020,CLS-10,,EMP-0486,EMP-0469,2026-04-02,standard_3yr,binder/2026Q1/close/payroll/
EV-2026Q1-029,EVB-2026Q1-029,2026-03,close_task,accrual roll forward schedule,FIN-10,,CLS-11,,EMP-0493,EMP-0481,2026-04-03,standard_3yr,binder/2026Q1/close/accruals/
EV-2026Q1-030,EVB-2026Q1-030,2026-03,close_task,prepaid schedule with the monthly amortization,CORE-05,ADI-FIN-001,CLS-12,,EMP-0471,EMP-0465,2026-04-03,standard_3yr,binder/2026Q1/close/accruals/
EV-2026Q1-031,EVB-2026Q1-031,2026-03,close_task,payroll accrual schedule,CORE-04,,CLS-13,,EMP-0476,EMP-0470,2026-04-03,standard_3yr,binder/2026Q1/close/payroll/
EV-2026Q1-032,EVB-2026Q1-032,2026-03,close_task,journal batch with support attached to every entry,FIN-09,,CLS-15,,EMP-0486,EMP-0473,2026-04-03,standard_3yr,
