invoice_id,vendor_canon_id,vendor_name,invoice_number,invoice_date,received_date,po_number,po_line,description,quantity_billed,unit_price,invoice_amount,currency,payment_terms,due_date,remit_to_bank,remit_to_account_masked,status
VINV-2026-0155,co-119,DataPulse Analytics,DPA-18900,2026-03-20,2026-03-25,PO-2026-0144,1,Product analytics workspace,11,1668.87,18357.57,USD,net_30,2026-04-19,Anchor Point Bank,XXXX-9155,matched
VINV-2026-0156,co-189,Braxmoor Recruiting Group,BXM-12707,2026-03-23,2026-03-26,PO-2026-0118,2,Engineering search retainer,12,1816.80,21801.60,USD,net_15,2026-04-07,Anchor Point Bank,XXXX-4287,on_hold
VINV-2026-0157,co-105,Millgate Insurance Services,MLG-13721,2026-03-20,2026-03-26,PO-2026-0140,1,Certificate administration,3,9224.88,27674.64,USD,net_15,2026-04-04,Anchor Point Bank,XXXX-5183,matched
VINV-2026-0158,co-101,Copperline Software,CPL-21030,2026-03-23,2026-03-26,PO-2026-0148,1,Additional developer seats,15,3568.76,53531.40,USD,net_30,2026-04-22,Anchor Point Bank,XXXX-2186,unmatched
VINV-2026-0159,co-109,Birchcroft Properties,BCP-16141,2026-03-24,2026-03-26,PO-2026-0113,1,Suite 400 common area charge,2,10654.12,21308.24,USD,net_30,2026-04-23,Anchor Point Bank,XXXX-9180,on_hold
VINV-2026-0160,co-119,DataPulse Analytics,DPA-18902,2026-03-21,2026-03-26,PO-2026-0119,1,Product analytics workspace,9,1110.71,9996.39,USD,net_30,2026-04-20,Anchor Point Bank,XXXX-9155,matched
VINV-2026-0161,co-190,Wrenfallow Security Systems,WRF-21290,2026-03-24,2026-03-26,PO-2026-0129,2,Badge readers and controllers,4,220.59,882.36,USD,net_30,2026-04-23,Anchor Point Bank,XXXX-9232,matched
VINV-2026-0162,co-109,Birchcroft Properties,BCP-16142,2026-03-18,2026-03-26,PO-2026-0135,2,After-hours HVAC,2,7733.41,15466.82,USD,net_30,2026-04-17,Anchor Point Bank,XXXX-9180,matched
VINV-2026-0163,co-188,Fallowmere Catering,FLM-19219,2026-03-24,2026-03-27,PO-2026-0122,1,Customer advisory board dinner,62,144.58,8963.96,USD,net_45,2026-05-08,Anchor Point Bank,XXXX-7719,matched
VINV-2026-0164,co-185,Thackenridge Courier,TKR-16954,2026-03-26,2026-03-27,PO-2026-0138,2,Equipment transfer runs,39,95.75,3734.25,USD,net_30,2026-04-25,Anchor Point Bank,XXXX-2211,unmatched
VINV-2026-0165,co-190,Wrenfallow Security Systems,WRF-21286,2026-03-23,2026-03-30,PO-2026-0102,1,Door hardware kits,53,743.56,39408.68,USD,net_30,2026-04-22,Anchor Point Bank,XXXX-9232,matched
VINV-2026-0166,co-119,DataPulse Analytics,DPA-18899,2026-03-29,2026-03-30,PO-2026-0124,2,Event volume tier,38,2255.28,85700.64,USD,net_30,2026-04-28,Anchor Point Bank,XXXX-9155,on_hold
VINV-2026-0167,co-181,Halvermoor Cloud Services,HVM-13600,2026-03-25,2026-03-30,PO-2026-0130,1,Object storage tier,6,14326.75,85960.50,USD,net_30,2026-04-24,Anchor Point Bank,XXXX-4795,matched
VINV-2026-0168,co-107,Cedarline Office Supply,CDL-23719,2026-03-24,2026-03-30,PO-2026-0134,2,Breakroom supplies,42,57.83,2428.86,USD,net_30,2026-04-23,Anchor Point Bank,XXXX-1354,matched
VINV-2026-0169,co-189,Braxmoor Recruiting Group,BXM-12710,2026-03-28,2026-03-30,PO-2026-0118,1,Engineering search retainer,2,1335.99,2671.98,USD,net_45,2026-05-12,Anchor Point Bank,XXXX-4287,unmatched
VINV-2026-0170,co-181,Halvermoor Cloud Services,HVM-13596,2026-03-23,2026-03-31,PO-2026-0108,3,Object storage tier,8,13373.19,106985.52,USD,net_15,2026-04-07,Anchor Point Bank,XXXX-4795,unmatched
VINV-2026-0171,co-189,Braxmoor Recruiting Group,BXM-12708,2026-03-24,2026-03-31,PO-2026-0118,3,Engineering search retainer,10,1978.92,19789.20,USD,net_45,2026-05-08,Anchor Point Bank,XXXX-4287,matched
VINV-2026-0172,co-101,Copperline Software,CPL-21032,2026-03-29,2026-03-31,PO-2026-0155,1,Annual platform license renewal,57,2911.45,165952.65,USD,net_15,2026-04-13,Anchor Point Bank,XXXX-2186,matched
